1988,"Collingwood, Ontario",35567,Apartment structures of six units and over,Bachelor units,v3824489,74.4.1,298
1987,"Collingwood, Ontario",35567,Apartment structures of six units and over,One bedroom units,v3824677,74.4.2,395
1988,"Collingwood, Ontario",35567,Apartment structures of six units and over,One bedroom units,v3824677,74.4.2,398
1989,"Collingwood, Ontario",35567,Apartment structures of six units and over,One bedroom units,v3824677,74.4.2,430
1987,"Collingwood, Ontario",35567,Apartment structures of six units and over,Two bedroom units,v3824865,74.4.3,428
1988,"Collingwood, Ontario",35567,Apartment structures of six units and over,Two bedroom units,v3824865,74.4.3,452
1989,"Collingwood, Ontario",35567,Apartment structures of six units and over,Two bedroom units,v3824865,74.4.3,482
1987,"Collingwood, Ontario",35567,Apartment structures of six units and over,Three bedroom units,v3825053,74.4.4,417
1987,"Cornwall, Ontario",35501,Apartment structures of six units and over,Bachelor units,v3824455,75.4.1,332
1988,"Cornwall, Ontario",35501,Apartment structures of six units and over,Bachelor units,v3824455,75.4.1,327
1989,"Cornwall, Ontario",35501,Apartment structures of six units and over,Bachelor units,v3824455,75.4.1,333
1987,"Cornwall, Ontario",35501,Apartment structures of six units and over,One bedroom units,v3824643,75.4.2,392
1988,"Cornwall, Ontario",35501,Apartment structures of six units and over,One bedroom units,v3824643,75.4.2,388
1989,"Cornwall, Ontario",35501,Apartment structures of six units and over,One bedroom units,v3824643,75.4.2,397
1987,"Cornwall, Ontario",35501,Apartment structures of six units and over,Two bedroom units,v3824831,75.4.3,477
1988,"Cornwall, Ontario",35501,Apartment structures of six units and over,Two bedroom units,v3824831,75.4.3,496
1989,"Cornwall, Ontario",35501,Apartment structures of six units and over,Two bedroom units,v3824831,75.4.3,515
1987,"Cornwall, Ontario",35501,Apartment structures of six units and over,Three bedroom units,v3825019,75.4.4,487
1989,"Cornwall, Ontario",35501,Apartment structures of six units and over,Three bedroom units,v3825019,75.4.4,541
1988,"Dunnville, Ontario",,Apartment structures of six units and over,One bedroom units,v3824681,76.4.2,272
1989,"Dunnville, Ontario",,Apartment structures of six units and over,One bedroom units,v3824681,76.4.2,380
1988,"Dunnville, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824869,76.4.3,381
1989,"Dunnville, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824869,76.4.3,410
1987,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,Bachelor units,v3824494,77.4.1,273
1988,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,Bachelor units,v3824494,77.4.1,285
1989,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,Bachelor units,v3824494,77.4.1,315
1987,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,One bedroom units,v3824682,77.4.2,323
1988,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,One bedroom units,v3824682,77.4.2,339
1989,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,One bedroom units,v3824682,77.4.2,326
1987,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,Two bedroom units,v3824870,77.4.3,379
1988,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,Two bedroom units,v3824870,77.4.3,398
1989,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,Two bedroom units,v3824870,77.4.3,398
1987,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,Three bedroom units,v3825058,77.4.4,395
1988,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,Three bedroom units,v3825058,77.4.4,403
1989,"Elliot Lake, Ontario",35582,Apartment structures of six units and over,Three bedroom units,v3825058,77.4.4,420
1987,"Fergus, Ontario",,Apartment structures of six units and over,One bedroom units,v3824740,78.4.2,326
1987,"Fergus, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824928,78.4.3,386
1987,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,Bachelor units,v3824441,121.4.1,279
1988,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,Bachelor units,v3824441,121.4.1,311
1989,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,Bachelor units,v3824441,121.4.1,335
1987,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,One bedroom units,v3824629,121.4.2,365
1988,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,One bedroom units,v3824629,121.4.2,386
1989,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,One bedroom units,v3824629,121.4.2,401
1987,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,Two bedroom units,v3824817,121.4.3,469
1988,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,Two bedroom units,v3824817,121.4.3,451
1989,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,Two bedroom units,v3824817,121.4.3,468
1987,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,Three bedroom units,v3825005,121.4.4,466
1988,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,Three bedroom units,v3825005,121.4.4,495
1989,"Greater Sudbury, Ontario",35580,Apartment structures of six units and over,Three bedroom units,v3825005,121.4.4,525
1987,"Guelph, Ontario",35550,Apartment structures of six units and over,Bachelor units,v3824460,81.4.1,327
1988,"Guelph, Ontario",35550,Apartment structures of six units and over,Bachelor units,v3824460,81.4.1,406
1989,"Guelph, Ontario",35550,Apartment structures of six units and over,Bachelor units,v3824460,81.4.1,454
1987,"Guelph, Ontario",35550,Apartment structures of six units and over,One bedroom units,v3824648,81.4.2,403
1988,"Guelph, Ontario",35550,Apartment structures of six units and over,One bedroom units,v3824648,81.4.2,422
1989,"Guelph, Ontario",35550,Apartment structures of six units and over,One bedroom units,v3824648,81.4.2,456
1987,"Guelph, Ontario",35550,Apartment structures of six units and over,Two bedroom units,v3824836,81.4.3,459
1988,"Guelph, Ontario",35550,Apartment structures of six units and over,Two bedroom units,v3824836,81.4.3,480
1989,"Guelph, Ontario",35550,Apartment structures of six units and over,Two bedroom units,v3824836,81.4.3,521
1987,"Guelph, Ontario",35550,Apartment structures of six units and over,Three bedroom units,v3825024,81.4.4,512
1988,"Guelph, Ontario",35550,Apartment structures of six units and over,Three bedroom units,v3825024,81.4.4,527
1989,"Guelph, Ontario",35550,Apartment structures of six units and over,Three bedroom units,v3825024,81.4.4,578
1987,"Haldimand County, Ontario",3528018,Apartment structures of six units and over,One bedroom units,v3824687,83.4.2,394
1988,"Haldimand County, Ontario",3528018,Apartment structures of six units and over,One bedroom units,v3824687,83.4.2,391
1989,"Haldimand County, Ontario",3528018,Apartment structures of six units and over,One bedroom units,v3824687,83.4.2,452
1987,"Haldimand County, Ontario",3528018,Apartment structures of six units and over,Two bedroom units,v3824875,83.4.3,440
1988,"Haldimand County, Ontario",3528018,Apartment structures of six units and over,Two bedroom units,v3824875,83.4.3,441
1989,"Haldimand County, Ontario",3528018,Apartment structures of six units and over,Two bedroom units,v3824875,83.4.3,473
1987,"Halton Hills, Ontario",,Apartment structures of six units and over,One bedroom units,v3824692,84.4.2,422
1987,"Halton Hills, Ontario",,Apartment structures of six units and over,Two bedroom units,v3824880,84.4.3,387
1987,"Hamilton, Ontario",35537,Apartment structures of six units and over,Bachelor units,v3824426,85.4.1,287
1988,"Hamilton, Ontario",35537,Apartment structures of six units and over,Bachelor units,v3824426,85.4.1,307
1989,"Hamilton, Ontario",35537,Apartment structures of six units and over,Bachelor units,v3824426,85.4.1,317
1987,"Hamilton, Ontario",35537,Apartment structures of six units and over,One bedroom units,v3824614,85.4.2,361
1988,"Hamilton, Ontario",35537,Apartment structures of six units and over,One bedroom units,v3824614,85.4.2,383
1989,"Hamilton, Ontario",35537,Apartment structures of six units and over,One bedroom units,v3824614,85.4.2,406
1987,"Hamilton, Ontario",35537,Apartment structures of six units and over,Two bedroom units,v3824802,85.4.3,435
1988,"Hamilton, Ontario",35537,Apartment structures of six units and over,Two bedroom units,v3824802,85.4.3,467
